"county","county_ascii","county_full","state_name","population","age_median","income_household_median","income_individual_median","home_ownership","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","highschool_or_less","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","unemployment_rate","poverty","health_uninsured"
"Los Angeles","Los Angeles","Los Angeles County","California",10081600,36.5,68044,29985,45.8,582840,1460,35.8,20.9,20.6,41.5,26,21.2,11.3,32.5,43.9,6.1,14.9,9.6
"Cook","Cook","Cook County","Illinois",5198280,36.8,64660,32955,56.9,246959,1123,32.2,12.9,23.1,36,25.2,23,15.8,38.8,42.9,7,14.4,8.8
"Harris","Harris","Harris County","Texas",4646630,33.5,61705,31323,54.6,176481,1078,30.8,18.6,23.4,42,26.6,20.1,11.4,31.5,47.8,5.8,15.7,20.2
"Maricopa","Maricopa","Maricopa County","Arizona",4328810,36.4,64468,32158,62.2,258679,1127,30.2,12.3,22.4,34.69999980926514,32.6,20.8,11.9,32.7,42.7,5,13.8,10.6
"San Diego","San Diego","San Diego County","California",3316070,35.8,78980,34307,53.3,561830,1658,35.5,12.6,18.2,30.80000114440918,30.4,23.8,15,38.8,50.8,6,11.6,7.8
"Orange","Orange","Orange County","California",3168040,38.1,90234,36135,57.4,677585,1854,35.1,14.5,17.2,31.700000762939453,27.7,26,14.5,40.5,48.1,4.6,10.9,7.6
"Miami-Dade","Miami-Dade","Miami-Dade County","Florida",2699430,39.9,51347,24787,51.2,289396,1328,42.8,18.6,27.3,45.89999961853027,24.4,18.9,10.9,29.8,42.8,5.3,17.1,16.8
"Dallas","Dallas","Dallas County","Texas",2606870,33.4,59607,31136,50,177142,1105,29.2,20.7,22.6,43.30000114440918,25.3,19.9,11.5,31.4,41.8,4.8,15.4,21
"Kings","Kings","Kings County","New York",2589970,35.2,60231,31406,30.1,704829,1426,36,17.6,25.7,43.30000114440918,19.2,22.5,15,37.5,41.1,6.2,20,7.3
"Riverside","Riverside","Riverside County","California",2411440,35.6,67005,28557,66.3,344260,1375,36.8,18,26.9,44.89999961853027,32.9,14.2,8.1,22.3,44.1,7.5,13.7,8.8
"Queens","Queens","Queens County","New York",2287390,39,68666,31992,44.8,543076,1583,34.7,18,27.5,45.5,22.3,20.2,11.9,32.1,44.5,5.6,12.2,9.5
"King","King","King County","Washington",2195500,37,94974,45489,56.9,548755,1606,30.1,6.9,15,21.90000009536743,25.6,31.4,21.1,52.5,54.3,4.2,8.9,5.3
"Clark","Clark","Clark County","Nevada",2182000,37.3,59340,30913,53.8,261200,1132,32,13.9,28.5,42.39999961853027,33.1,16.2,8.3,24.5,40.4,6.4,13.7,11.7
"San Bernardino","San Bernardino","San Bernardino County","California",2149030,33.3,63362,27235,59.8,324702,1283,35.2,20,26.3,46.29999923706055,32.7,13.6,7.4,21,46.1,7.7,16,8.4
"Tarrant","Tarrant","Tarrant County","Texas",2049770,34.4,67700,33326,60.5,188950,1095,29.3,13.9,24,37.89999961853027,29.9,21.7,10.6,32.3,40.6,4.7,11.9,16.1
"Bexar","Bexar","Bexar County","Texas",1952840,33.6,57157,27976,58.5,157811,1015,31.2,15.8,25.4,41.19999980926514,30.8,17.8,10.3,28.1,44.3,5.3,15.7,15.2
"Santa Clara","Santa Clara","Santa Clara County","California",1927470,37.1,124055,47584,56.4,983491,2268,29.8,11.6,14.1,25.700000762939453,21.9,27.7,24.7,52.4,64.4,4.3,7.5,4.3
